번호,설립,학교명,캠퍼스명,학급,학종,지역,조사연도,재학생 수(A),수용가능인원(B),기숙사수용률(C=B/A)*100,지원자 수(D),입사경쟁률(E=D/B)
1,사립,가야대학교,고령캠퍼스,대학,일반대학,경북,2022,0,0,0.0,0,0.0
2,사립,가야대학교,김해캠퍼스,대학,일반대학,경남,2022,1869,642,34.3,545,84.9
3,사립,가천대학교,강화캠퍼스,대학,일반대학,인천,2022,0,132,0.0,0,0.0
4,사립,가천대학교,메디컬캠퍼스,대학,일반대학,인천,2022,2756,631,22.9,912,144.5
5,사립,가천대학교,성남글로벌캠퍼스,대학,일반대학,경기,2022,17894,2324,13.0,2783,119.8
6,사립,가톨릭관동대학교,본교(강릉),대학,일반대학,강원,2022,6947,2955,42.5,1419,48.0
7,사립,가톨릭관동대학교,제2캠퍼스(양양),대학,일반대학,강원,2022,0,0,0.0,0,0.0
8,사립,가톨릭꽃동네대학교,본교(충북청원),대학,일반대학,충북,2022,401,182,45.4,140,76.9
9,사립,가톨릭대학교,성신캠퍼스,대학,일반대학,서울,2022,300,306,102.0,166,54.2
10,사립,가톨릭대학교,성의캠퍼스,대학,일반대학,서울,2022,1577,118,7.5,140,118.6
11,사립,가톨릭대학교,성심캠퍼스,대학,일반대학,경기,2022,7430,1242,16.7,1731,139.4
12,사립,감리교신학대학교,본교(서울),대학,일반대학,서울,2022,1153,300,26.0,225,75.0
13,사립,강남대학교,본교(경기),대학,일반대학,경기,2022,6485,940,14.5,355,37.8
14,국립,강릉원주대학교,본교(강릉),대학,일반대학,강원,2022,5374,2115,39.4,2212,104.6
15,국립,강릉원주대학교,제2캠퍼스(원주),대학,일반대학,강원,2022,2084,625,30.0,902,144.3
16,국립,강원대학교,제2캠퍼스(삼척),대학,일반대학,강원,2022,5565,2620,47.1,3577,136.5
17,국립,강원대학교,본교(춘천),대학,일반대학,강원,2022,15129,4386,29.0,5858,133.6
18,사립,건국대학교,분교(글로컬),대학,일반대학,충북,2022,7038,2338,33.2,2821,120.7
19,사립,건국대학교,본교(서울),대학,일반대학,서울,2022,17163,3309,19.3,3906,118.0
20,사립,건양대학교,본교(논산),대학,일반대학,충남,2022,2957,1369,46.3,1417,103.5
21,사립,건양대학교,제2캠퍼스(대전),대학,일반대학,대전,2022,3845,1343,34.9,1777,132.3
22,사립,경기대학교,제2캠퍼스(서울),대학,일반대학,서울,2022,2595,0,0.0,0,0.0
23,사립,경기대학교,본교(수원),대학,일반대학,경기,2022,11772,2216,18.8,1988,89.7
24,사립,경남대학교,본교(마산),대학,일반대학,경남,2022,10577,1654,15.6,2056,124.3
25,사립,경남대학교,산단캠퍼스,대학,일반대학,경남,2022,67,0,0.0,0,0.0
26,사립,경동대학교,양주캠퍼스,대학,일반대학,경기,2022,2668,497,18.6,453,91.1
27,사립,경동대학교,문막캠퍼스,대학,일반대학,강원,2022,3817,1016,26.6,1747,171.9
28,사립,경동대학교,설악제1캠퍼스,대학,일반대학,강원,2022,538,342,63.6,203,59.4
29,사립,경동대학교,속초캠퍼스,대학,일반대학,강원,2022,0,0,0.0,0,0.0
30,국립,경북대학교,본교(대구북구),대학,일반대학,대구,2022,20111,4242,21.1,4876,114.9
31,국립,경북대학교,제3캠퍼스(상주),대학,일반대학,경북,2022,2808,1300,46.3,1355,104.2
32,국립,경북대학교,제2캠퍼스(대구중구),대학,일반대학,대구,2022,1860,394,21.2,321,81.5
33,국립,경상국립대학교,통영캠퍼스,대학,일반대학,경남,2022,1050,494,47.0,577,116.8
34,국립,경상국립대학교,칠암캠퍼스,대학,일반대학,경남,2022,4962,1099,22.1,1509,137.3
35,국립,경상국립대학교,산단캠퍼스,대학,일반대학,경남,2022,79,0,0.0,0,0.0
36,국립,경상국립대학교,내동캠퍼스,대학,일반대학,경남,2022,140,0,0.0,0,0.0
37,국립,경상국립대학교,가좌캠퍼스(본교),대학,일반대학,경남,2022,11738,3581,30.5,5263,147.0
38,사립,경성대학교,본교,대학,일반대학,부산,2022,12224,1440,11.8,1520,105.6
39,사립,경운대학교,본교(구미),대학,일반대학,경북,2022,4214,1503,35.7,931,61.9
40,사립,경운대학교,산단캠퍼스,대학,일반대학,경북,2022,62,0,0.0,0,0.0
41,사립,경일대학교,본교(경산),대학,일반대학,경북,2022,7073,1626,23.0,1712,105.3
42,사립,경주대학교,본교(경주),대학,일반대학,경북,2022,734,420,57.2,71,16.9
43,사립,경희대학교,본교(서울),대학,일반대학,서울,2022,16895,1621,9.6,2872,177.2
44,사립,경희대학교,국제캠퍼스(수원),대학,일반대학,경기,2022,12778,3496,27.4,3399,97.2
45,사립,계명대학교,본교(성서),대학,일반대학,대구,2022,20344,2932,14.4,4499,153.4
46,사립,계명대학교,제2캠퍼스(대명),대학,일반대학,대구,2022,1723,0,0.0,0,0.0
47,사립,고려대학교,본교(서울),대학,일반대학,서울,2022,26022,3105,11.9,3891,125.3
48,사립,고려대학교,분교(세종),대학,일반대학,세종,2022,7029,2596,36.9,2751,106.0
49,사립,고신대학교,송도캠퍼스,대학,일반대학,부산,2022,1000,0,0.0,0,0.0
50,사립,고신대학교,천안캠퍼스,대학,일반대학,충남,2022,376,555,147.6,245,44.1
51,사립,고신대학교,본교(영도),대학,일반대학,부산,2022,2822,1104,39.1,871,78.9
52,국립,공주대학교,본교(신관),대학,일반대학,충남,2022,7815,2211,28.3,3578,161.8
53,국립,공주대학교,제2캠퍼스(공주옥룡),대학,일반대학,충남,2022,0,211,0.0,0,0.0
54,국립,공주대학교,제3캠퍼스(예산),대학,일반대학,충남,2022,1601,572,35.7,860,150.3
55,국립,공주대학교,제4캠퍼스(천안),대학,일반대학,충남,2022,3889,1303,33.5,2228,171.0
56,사립,광신대학교,본교(광주),대학,일반대학,광주,2022,950,226,23.8,0,0.0
57,사립,광운대학교,본교(서울노원),대학,일반대학,서울,2022,8791,1069,12.2,1228,114.9
58,사립,광주가톨릭대학교,본교(나주),대학,일반대학,전남,2022,94,223,237.2,83,37.2
59,사립,광주대학교,본교(광주진월),대학,일반대학,광주,2022,6650,1990,29.9,1475,74.1
60,사립,광주여자대학교,본교(광산),대학,일반대학,광주,2022,3845,1104,28.7,1154,104.5
61,사립,국민대학교,본교(서울),대학,일반대학,서울,2022,15630,1857,11.9,2970,159.9
62,국립,군산대학교,본교(군산),대학,일반대학,전북,2022,6971,1637,23.5,1835,112.1
63,국립,군산대학교,산단캠퍼스,대학,일반대학,전북,2022,286,0,0.0,0,0.0
64,사립,극동대학교,본교(음성),대학,일반대학,충북,2022,2993,472,15.8,355,75.2
65,사립,금강대학교,본교,대학,일반대학,충남,2022,216,632,292.6,199,31.5
66,국립,금오공과대학교,본교(경북구미),대학,일반대학,경북,2022,5276,2448,46.4,2272,92.8
67,국립,금오공과대학교,산단캠퍼스,대학,일반대학,경북,2022,142,139,97.9,95,68.3
68,사립,김천대학교,본교,대학,일반대학,경북,2022,2621,1163,44.4,1103,94.8
69,사립,나사렛대학교,본교(천안),대학,일반대학,충남,2022,4945,953,19.3,1932,202.7
70,사립,남부대학교,본교(광산),대학,일반대학,광주,2022,3136,988,31.5,647,65.5
71,사립,남서울대학교,본교(충남천안),대학,일반대학,충남,2022,9493,1332,14.0,1831,137.5
72,사립,단국대학교,본교(죽전),대학,일반대학,경기,2022,12606,2442,19.4,2689,110.1
