번호,설립,학교명,캠퍼스명,학급,학종,지역,조사연도,기숙사 형태,카드납부 실시여부,현금분할납부,
,,,,,,,,,,실시여부,분할횟수
1,사립,가야대학교,김해캠퍼스,대학,일반대학,경남,2022,직영,미실시,미실시,0
2,사립,가천대학교,메디컬캠퍼스,대학,일반대학,인천,2022,직영,미실시,미실시,0
3,사립,가천대학교,성남글로벌캠퍼스,대학,일반대학,경기,2022,직영,미실시,미실시,0
4,사립,가천대학교,강화캠퍼스,대학,일반대학,인천,2022,직영,미실시,미실시,0
5,사립,가톨릭관동대학교,본교(강릉),대학,일반대학,강원,2022,직영,미실시,미실시,0
6,사립,가톨릭꽃동네대학교,본교(충북청원),대학,일반대학,충북,2022,직영,미실시,미실시,0
7,사립,가톨릭대학교,성신캠퍼스,대학,일반대학,서울,2022,직영,미실시,미실시,0
8,사립,가톨릭대학교,성의캠퍼스,대학,일반대학,서울,2022,직영,미실시,실시,2
9,사립,가톨릭대학교,성심캠퍼스,대학,일반대학,경기,2022,직영,미실시,미실시,0
10,사립,감리교신학대학교,본교(서울),대학,일반대학,서울,2022,직영,미실시,실시,2
11,사립,강남대학교,본교(경기),대학,일반대학,경기,2022,직영,미실시,미실시,0
12,국립,강릉원주대학교,본교(강릉),대학,일반대학,강원,2022,민자,실시,미실시,0
13,국립,강릉원주대학교,본교(강릉),대학,일반대학,강원,2022,직영,실시,미실시,0
14,국립,강릉원주대학교,제2캠퍼스(원주),대학,일반대학,강원,2022,직영,실시,미실시,0
15,국립,강릉원주대학교,제2캠퍼스(원주),대학,일반대학,강원,2022,민자,실시,미실시,0
16,사립,강서대학교,본교(서울),대학,일반대학,서울,2022,직영,미실시,미실시,0
17,국립,강원대학교,본교(춘천),대학,일반대학,강원,2022,직영,실시,실시,2
18,국립,강원대학교,본교(춘천),대학,일반대학,강원,2022,민자,실시,실시,2
19,국립,강원대학교,제2캠퍼스(삼척),대학,일반대학,강원,2022,직영,실시,미실시,0
20,사립,건국대학교,본교(서울),대학,일반대학,서울,2022,민자,실시,실시,2
21,사립,건국대학교,본교(서울),대학,일반대학,서울,2022,직영,실시,실시,2
22,사립,건국대학교,분교(글로컬),대학,일반대학,충북,2022,직영,미실시,실시,2
23,사립,건국대학교,분교(글로컬),대학,일반대학,충북,2022,민자,미실시,실시,2
24,사립,건양대학교,본교(논산),대학,일반대학,충남,2022,직영,실시,실시,2
25,사립,건양대학교,제2캠퍼스(대전),대학,일반대학,대전,2022,직영,실시,실시,2
26,사립,경기대학교,본교(수원),대학,일반대학,경기,2022,민자,미실시,미실시,0
27,사립,경기대학교,본교(수원),대학,일반대학,경기,2022,직영,미실시,미실시,0
28,사립,경남대학교,본교(마산),대학,일반대학,경남,2022,직영,미실시,미실시,0
29,사립,경동대학교,문막캠퍼스,대학,일반대학,강원,2022,행복기숙사,미실시,실시,2
30,사립,경동대학교,설악제1캠퍼스,대학,일반대학,강원,2022,직영,미실시,미실시,0
31,사립,경동대학교,양주캠퍼스,대학,일반대학,경기,2022,직영,미실시,미실시,0
32,국립,경북대학교,본교(대구북구),대학,일반대학,대구,2022,직영,실시,미실시,0
33,국립,경북대학교,본교(대구북구),대학,일반대학,대구,2022,민자,실시,미실시,0
34,국립,경북대학교,제2캠퍼스(대구중구),대학,일반대학,대구,2022,직영,미실시,미실시,0
35,국립,경북대학교,제2캠퍼스(대구중구),대학,일반대학,대구,2022,민자,실시,미실시,0
36,국립,경북대학교,제3캠퍼스(상주),대학,일반대학,경북,2022,직영,미실시,미실시,0
37,국립,경상국립대학교,가좌캠퍼스,대학,일반대학,경남,2022,직영,실시,실시,2
38,국립,경상국립대학교,가좌캠퍼스,대학,일반대학,경남,2022,민자,실시,실시,2
39,국립,경상국립대학교,통영캠퍼스,대학,일반대학,경남,2022,직영,미실시,실시,3
40,국립,경상국립대학교,칠암캠퍼스,대학,일반대학,경남,2022,민자,실시,미실시,0
41,국립,경상국립대학교,칠암캠퍼스,대학,일반대학,경남,2022,직영,실시,미실시,0
42,사립,경성대학교,본교,대학,일반대학,부산,2022,직영,미실시,미실시,0
43,사립,경운대학교,본교(구미),대학,일반대학,경북,2022,직영,미실시,실시,3
44,사립,경일대학교,본교(경산),대학,일반대학,경북,2022,직영,미실시,실시,2
