번호,설립,학교명,캠퍼스명,학급,학종,지역,조사연도,한달 기숙사비,,,,,,,,,,,,,,,
,,,,,,,,직영,,,,민자,,,,임차,,,,평균,,,
,,,,,,,,1인실,2인실,3인실,4인실 이상,1인실,2인실,3인실,4인실 이상,1인실,2인실,3인실,4인실 이상,1인실,2인실,3인실,4인실 이상
1,사립,가야대학교,김해캠퍼스,대학,일반대학,경남,2022,0.0,0.0,133.9,133.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.9,133.7
2,사립,가야대학교,고령캠퍼스,대학,일반대학,경북,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,사립,가천대학교,강화캠퍼스,대학,일반대학,인천,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,사립,가천대학교,메디컬캠퍼스,대학,일반대학,인천,2022,439.3,306.8,214.3,176.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.3,306.8,214.3,176.8
5,사립,가천대학교,성남글로벌캠퍼스,대학,일반대학,경기,2022,482.0,356.2,0.0,214.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,356.2,0.0,214.4
6,사립,가톨릭관동대학교,본교(강릉),대학,일반대학,강원,2022,0.0,155.2,149.2,170.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.2,149.2,170.6
7,사립,가톨릭관동대학교,제2캠퍼스(양양),대학,일반대학,강원,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,사립,가톨릭꽃동네대학교,본교(충북청원),대학,일반대학,충북,2022,0.0,218.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.2,0.0,0.0,0.0,218.2,0.0,0.0
9,사립,가톨릭대학교,성신캠퍼스,대학,일반대학,서울,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,사립,가톨릭대학교,성심캠퍼스,대학,일반대학,경기,2022,320.0,320.0,270.9,206.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,320.0,270.9,206.6
11,사립,가톨릭대학교,성의캠퍼스,대학,일반대학,서울,2022,0.0,228.7,159.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.7,159.1,0.0
12,사립,감리교신학대학교,본교(서울),대학,일반대학,서울,2022,0.0,172.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.6,0.0,0.0
13,사립,강남대학교,본교(경기),대학,일반대학,경기,2022,0.0,305.9,0.0,159.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.9,0.0,159.5
14,국립,강릉원주대학교,본교(강릉),대학,일반대학,강원,2022,230.5,184.6,0.0,0.0,295.9,222.7,0.0,0.0,0.0,0.0,0.0,0.0,293.1,216.3,0.0,0.0
15,국립,강릉원주대학교,제2캠퍼스(원주),대학,일반대학,강원,2022,163.1,170.8,0.0,0.0,247.4,247.4,0.0,0.0,0.0,0.0,0.0,0.0,219.3,207.5,0.0,0.0
16,국립,강원대학교,본교(춘천),대학,일반대학,강원,2022,186.4,152.0,120.3,471.4,160.5,159.4,0.0,0.0,0.0,0.0,0.0,0.0,161.6,157.8,120.3,471.4
17,국립,강원대학교,제2캠퍼스(삼척),대학,일반대학,강원,2022,0.0,211.1,197.9,195.2,0.0,0.0,0.0,0.0,234.9,234.9,0.0,0.0,234.9,222.7,197.9,195.2
18,사립,건국대학교,본교(서울),대학,일반대학,서울,2022,619.1,404.0,0.0,0.0,629.9,414.5,0.0,0.0,0.0,0.0,0.0,0.0,629.8,414.2,0.0,0.0
19,사립,건국대학교,분교(글로컬),대학,일반대학,충북,2022,0.0,253.6,203.2,152.9,0.0,313.0,260.9,0.0,0.0,0.0,0.0,0.0,0.0,307.1,245.5,152.9
20,사립,건양대학교,본교(논산),대학,일반대학,충남,2022,373.2,199.0,0.0,130.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.2,199.0,0.0,130.8
21,사립,건양대학교,제2캠퍼스(대전),대학,일반대학,대전,2022,359.0,210.3,151.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,210.3,151.3,0.0
22,사립,경기대학교,본교(수원),대학,일반대학,경기,2022,0.0,0.0,0.0,175.3,567.1,397.1,0.0,0.0,0.0,0.0,0.0,0.0,567.1,397.1,0.0,175.3
23,사립,경기대학교,제2캠퍼스(서울),대학,일반대학,서울,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
