2020년_ [기숙사 수용 현황 (대학)],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기준연도,학교종류,설립구분,지역,상태,학교,재학생수(A),총 실수,수용가능인원(B),실제 수용 인원,,,"기숙사수용률
(C=B/Ax100)",기숙사 지원자 수(D),,,"입사 경쟁률
(E=D/B)","의무식
여부",구분,건물명,준공연도,1인실,,2인실,,3인실,,4인실 이상,
,,,,,,,,,학위과정,,비학위과정,,,,,,,,,,실수,기숙사비,실수,기숙사비,실수,기숙사비,실수,기숙사비
,,,,,,,,,내국인,외국인,외국인,,동일지역,타지역,합계,,,,,,,,,,,,,
2020,대학교,사립,경북,기존,가야대학교(고령) _제2캠퍼스,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
2020,대학교,사립,경남,기존,가야대학교(김해),"2,207",80,672,84,22,0,30.4,3,326,329,1.1,O,직영(구내),군자관,2003,0,0,0,0,0,0,80,120
2020,대학교,사립,경남,기존,가야대학교(김해),"2,207",88,672,95,17,0,30.4,23,363,386,1.1,O,직영(구내),여자 기숙사,2009,0,0,0,0,0,0,88,125.5
2020,대학교,사립,경기,기존,가천대학교,"20,021",98,"2,413",131,0,0,12.1,0,131,131,1.5,X,직영(구외),의과대학 기숙사,2019,2,428.6,96,316,0,0,0,0
2020,대학교,사립,경기,기존,가천대학교,"20,021",140,"2,413",297,0,0,12.1,2,711,713,1.5,X,직영(구내),보건과학대학학생생활관,2015,2,428.6,68,283.9,61,203.6,9,171.4
2020,대학교,사립,경기,기존,가천대학교,"20,021",393,"2,413",112,0,0,12.1,0,"2,105","2,105",1.5,X,직영(구내),제2학생생활관,2017,4,487.3,288,336.7,0,0,101,212.4
2020,대학교,사립,경기,기존,가천대학교,"20,021",14,"2,413",0,30,0,12.1,0,24,24,1.5,X,임차,제3기숙사(외부오피스텔),2019,0,0,12,241.5,2,241.5,0,0
2020,대학교,사립,경기,기존,가천대학교,"20,021",184,"2,413",3,96,52,12.1,0,552,552,1.5,X,직영(구내),제1학생생활관,2007,10,471.2,35,320.6,0,0,139,201.8
2020,대학교,사립,경기,기존,가천대학교,"20,021",40,"2,413",27,4,3,12.1,0,39,39,1.5,X,직영(구외),송도BRC학생생활관,2013,0,0,40,214.3,0,0,0,0
2020,대학교,사립,경기,기존,가천대학교,"20,021",44,"2,413",132,0,0,12.1,0,0,0,1.5,X,직영(구내),강화기숙사,1998,0,0,0,0,44,0,0,0
2020,대학교,사립,강원,기존,가톨릭관동대학교,"8,220",24,"2,990",88,0,0,36.4,3,85,88,1.4,O,직영(구내),우림관,2001,0,0,0,0,0,0,24,98.9
2020,대학교,사립,강원,기존,가톨릭관동대학교,"8,220",76,"2,990",0,0,0,36.4,0,413,413,1.4,O,직영(구내),제1생활관,1992,0,0,0,0,0,0,76,139.7
2020,대학교,사립,강원,기존,가톨릭관동대학교,"8,220",111,"2,990",0,0,0,36.4,0,658,658,1.4,O,직영(구내),제3생활관,2000,0,0,0,0,0,0,111,139.7
2020,대학교,사립,강원,기존,가톨릭관동대학교,"8,220",166,"2,990",0,0,0,36.4,0,985,985,1.4,O,직영(구내),제6생활관,2008,0,0,0,0,0,0,166,184.1
2020,대학교,사립,강원,기존,가톨릭관동대학교,"8,220",57,"2,990",0,0,0,36.4,0,110,110,1.4,O,직영(구내),제4생활관,1980,0,0,2,139.7,55,139.7,0,0
2020,대학교,사립,강원,기존,가톨릭관동대학교,"8,220",221,"2,990",0,0,0,36.4,0,"1,198","1,198",1.4,O,직영(구내),제5생활관,2004,0,0,0,0,3,184.1,218,184.1
2020,대학교,사립,강원,기존,가톨릭관동대학교,"8,220",108,"2,990",0,0,0,36.4,0,641,641,1.4,O,직영(구내),제2생활관,1999,0,0,0,0,0,0,108,139.7
2020,대학교,사립,충북,기존,가톨릭꽃동네대학교,457,39,197,0,0,0,43.1,0,0,0,0,X,직영(구내),요셉의 집,2009,0,0,39,192.9,0,0,0,0
2020,대학교,사립,충북,기존,가톨릭꽃동네대학교,457,57,197,0,0,0,43.1,0,0,0,0,X,임차,마리아의 집,1996,5,225,42,192.9,10,155.4,0,0
2020,대학교,사립,경기,기존,가톨릭대학교,"7,580",379,"1,234",246,96,5,16.3,0,"1,452","1,452",1.2,X,직영(구내),김수환관,2009,0,0,105,346.7,150,288.9,124,223.9
2020,대학교,사립,경기,기존,가톨릭대학교,"7,580",54,"1,234",54,0,0,16.3,0,83,83,1.2,X,행복기숙사,청년주택(개봉동),2018,33,268.5,21,189,0,0,0,0
2020,대학교,사립,서울,기존,가톨릭대학교 _제2캠퍼스,"1,548",41,121,121,0,0,7.8,4,184,188,1.6,X,직영(구외),가톨릭대성의기숙사,2004,0,0,2,236.1,39,157.4,0,0
2020,대학교,사립,서울,기존,가톨릭대학교 _제3캠퍼스,285,4,306,32,0,0,107.4,22,10,32,0.7,O,임차,양업관,1983,0,0,0,0,0,0,4,0
2020,대학교,사립,서울,기존,가톨릭대학교 _제3캠퍼스,285,60,306,48,1,0,107.4,36,13,49,0.7,O,임차,강학관,1991,60,0,0,0,0,0,0,0
2020,대학교,사립,서울,기존,가톨릭대학교 _제3캠퍼스,285,150,306,93,3,0,107.4,65,31,96,0.7,O,직영(구내),대건관,1980,150,0,0,0,0,0,0,0
2020,대학교,사립,서울,기존,가톨릭대학교 _제3캠퍼스,285,60,306,23,4,0,107.4,18,9,27,0.7,O,임차,수덕관,1991,60,0,0,0,0,0,0,0
2020,대학교,사립,서울,기존,감리교신학대학교,"1,403",150,300,291,9,0,21.4,0,72,72,0.2,X,직영(구내),장천생활관,2004,0,0,150,151.6,0,0,0,0
2020,대학교,사립,경기,기존,강남대학교,"6,879",234,940,20,0,3,13.7,1,626,627,1.1,X,직영(구내),콤플렉스센터(심전2관 기숙사),2007,0,0,234,292.8,0,0,0,0
2020,대학교,사립,경기,기존,강남대학교,"6,879",118,940,2,21,11,13.7,1,405,406,1.1,X,직영(구내),심전생활관 1관,1996,0,0,0,0,0,0,118,159.5
2020,대학교,국립,강원,기존,강릉원주대학교,"6,010",10,"2,192",20,0,0,36.5,0,0,0,0,O,민자(BTL),솔향관(기혼자실),2016,0,0,10,306.4,0,0,0,0
2020,대학교,국립,강원,기존,강릉원주대학교,"6,010",176,"2,192",353,0,0,36.5,0,0,0,0,O,직영(구내),정진관,1988,0,0,175,116.5,1,116.5,0,0
2020,대학교,국립,강원,기존,강릉원주대학교,"6,010",155,"2,192",307,0,0,36.5,0,0,0,0,O,직영(구내),예문관,1991,3,272.2,152,116.5,0,0,0,0
2020,대학교,국립,강원,기존,강릉원주대학교,"6,010",392,"2,192",780,0,0,36.5,0,0,0,0,O,민자(BTL),율곡.사임당관,2009,4,217.3,388,175.9,0,0,0,0
2020,대학교,국립,강원,기존,강릉원주대학교,"6,010",35,"2,192",70,0,0,36.5,0,0,0,0,O,직영(구내),이문관,1996,0,0,35,116.5,0,0,0,0
2020,대학교,국립,강원,기존,강릉원주대학교,"6,010",33,"2,192",0,65,0,36.5,0,0,0,0,O,직영(구내),국제교류관,2012,1,306.4,32,217.3,0,0,0,0
2020,대학교,국립,강원,기존,강릉원주대학교,"6,010",192,"2,192",381,0,0,36.5,0,0,0,0,O,민자(BTL),솔향관,2016,3,306.4,189,217.3,0,0,0,0
2020,대학교,국립,강원,기존,강릉원주대학교,"6,010",108,"2,192",216,0,0,36.5,0,0,0,0,O,직영(구내),명진관,2007,0,0,108,175.9,0,0,0,0
2020,대학교,국립,강원,기존,강릉원주대학교 _제2캠퍼스,"2,131",86,629,172,0,0,29.5,0,188,188,1.2,O,직영(구내),청송관,2002,0,0,86,173.3,0,0,0,0
2020,대학교,국립,강원,기존,강릉원주대학교 _제2캠퍼스,"2,131",79,629,157,0,0,29.5,0,204,204,1.2,O,직영(구내),예솔관,1989,1,158.8,78,158.8,0,0,0,0
2020,대학교,국립,강원,기존,강릉원주대학교 _제2캠퍼스,"2,131",151,629,298,2,0,29.5,0,360,360,1.2,O,민자(BTL),해솔관,2017,2,237.9,149,237.9,0,0,0,0
2020,대학교,사립,서울,기존,강서대학교,"1,328",32,96,0,0,0,7.2,0,112,112,1.2,X,직영(구내),케이씨대학교,1990,0,0,0,0,32,157.9,0,0
2020,대학교,국립,강원,기존,강원대학교,"15,614",110,"4,434",12,0,0,28.4,3,487,490,2.3,O,직영(구내),다산관,2000,0,0,110,126,0,0,0,0
2020,대학교,국립,강원,기존,강원대학교,"15,614",505,"4,434",0,0,0,28.4,238,"2,078","2,316",2.3,O,민자(BTL),이룸관,2019,10,155.5,495,155.5,0,0,0,0
2020,대학교,국립,강원,기존,강원대학교,"15,614",82,"4,434",2,44,0,28.4,1,249,250,2.3,X,직영(구내),국제인재양성관,2010,1,174.8,81,174.8,0,0,0,0
2020,대학교,국립,강원,기존,강원대학교,"15,614",61,"4,434",0,0,0,28.4,9,266,275,2.3,O,직영(구내),난지원,1980,0,0,0,0,61,113,0,0
2020,대학교,국립,강원,기존,강원대학교,"15,614",52,"4,434",40,0,0,28.4,0,90,90,2.3,X,직영(구내),율곡관,1983,0,0,52,146.3,0,0,0,0
2020,대학교,국립,강원,기존,강원대학교,"15,614",952,"4,434",355,105,0,28.4,371,"4,878","5,249",2.3,O,민자(BTL),새롬관,2009,12,146.3,940,146.3,0,0,0,0
2020,대학교,국립,강원,기존,강원대학교,"15,614",90,"4,434",12,64,0,28.4,10,365,375,2.3,X,직영(구내),국제생활관,2006,0,0,84,179.5,0,0,6,480.8
2020,대학교,국립,강원,기존,강원대학교,"15,614",65,"4,434",0,0,0,28.4,6,324,330,2.3,O,직영(구내),국지원,1988,0,0,0,0,65,113,0,0
2020,대학교,국립,강원,기존,강원대학교,"15,614",100,"4,434",14,1,0,28.4,10,384,394,2.3,O,직영(구내),예지원,2000,0,0,100,126,0,0,0,0
2020,대학교,국립,강원,기존,강원대학교,"15,614",95,"4,434",0,0,0,28.4,14,456,470,2.3,O,직영(구내),퇴계관,1986,0,0,0,0,95,113,0,0
2020,대학교,국립,강원,기존,강원대학교 _제2캠퍼스,"5,917",55,"2,864",15,9,0,48.4,7,"1,292","1,299",1.8,X,직영(구내),두타관,2004,0,0,0,0,0,0,55,202
2020,대학교,국립,강원,기존,강원대학교 _제2캠퍼스,"5,917",150,"2,864",0,0,0,48.4,7,"1,292","1,299",1.8,X,직영(구내),해솔관,2011,0,0,150,238.4,0,0,0,0
2020,대학교,국립,강원,기존,강원대학교 _제2캠퍼스,"5,917",163,"2,864",0,0,0,48.4,5,802,807,1.8,X,직영(구내),언장관,1990,0,0,163,179.7,0,0,0,0
2020,대학교,국립,강원,기존,강원대학교 _제2캠퍼스,"5,917",320,"2,864",0,0,0,48.4,96,620,716,1.8,O,임차,가온관,2016,32,315.5,288,242.9,0,0,0,0
2020,대학교,국립,강원,기존,강원대학교 _제2캠퍼스,"5,917",106,"2,864",0,0,0,48.4,9,541,550,1.8,O,직영(구내),황조관,2010,0,0,4,279.2,8,256.1,94,201.6
2020,대학교,국립,강원,기존,강원대학교 _제2캠퍼스,"5,917",124,"2,864",0,0,0,48.4,24,538,562,1.8,O,직영(구외),도원관,2009,0,0,0,0,0,0,124,197.1
2020,대학교,사립,서울,기존,건국대학교,"17,518","1,134","3,309",897,290,145,18.9,86,"2,539","2,625",1.3,X,민자(BTO),민자1,2006,191,618.9,943,403.9,0,0,0,0
2020,대학교,사립,서울,기존,건국대학교,"17,518",38,"3,309",44,11,13,18.9,3,92,95,1.3,X,직영(구내),글로벌홀,1996,1,618.9,37,403.9,0,0,0,0
2020,대학교,사립,서울,기존,건국대학교,"17,518",49,"3,309",86,0,0,18.9,28,70,98,1.3,O,직영(구내),일우헌,1988,0,0,0,0,0,0,49,0
2020,대학교,사립,서울,기존,건국대학교,"17,518",507,"3,309",597,3,0,18.9,39,"1,281","1,320",1.3,X,민자(BTO),민자2,2010,53,635,454,414.5,0,0,0,0
2020,대학교,사립,충북,기존,건국대학교(글로컬) _분교,"7,330",348,"2,338",778,6,0,31.9,0,"1,049","1,049",1.3,X,민자(BTO),해오름,2006,0,0,260,321.4,88,267.9,0,0
2020,대학교,사립,충북,기존,건국대학교(글로컬) _분교,"7,330",411,"2,338","1,522",32,0,31.9,0,"1,939","1,939",1.3,O,직영(구내),모시래학사,1984,0,0,29,237.3,32,190.2,350,143.3
2020,대학교,사립,충남,기존,건양대학교,"3,534",157,"1,500",0,9,45,42.4,1,356,357,1.2,X,직영(구내),선행화학사,2008,0,0,157,209.7,0,0,0,0
2020,대학교,사립,충남,기존,건양대학교,"3,534",134,"1,500",0,0,0,42.4,3,464,467,1.2,X,직영(구내),현암학사,1998,0,0,134,193.8,0,0,0,0
2020,대학교,사립,충남,기존,건양대학교,"3,534",109,"1,500",0,0,0,42.4,8,425,433,1.2,X,직영(구내),봉소학사,2002,0,0,22,193.8,0,0,87,135.4
2020,대학교,사립,충남,기존,건양대학교,"3,534",95,"1,500",0,0,0,42.4,6,391,397,1.2,X,직영(구내),구연학사,1995,0,0,12,193.8,0,0,83,143.4
2020,대학교,사립,충남,기존,건양대학교,"3,534",65,"1,500",0,0,0,42.4,0,152,152,1.2,X,직영(구내),반야학사,1991,4,249.6,61,193.8,0,0,0,0
2020,대학교,사립,충남,기존,건양대학교,"3,534",22,"1,500",0,0,0,42.4,0,0,0,1.2,X,직영(구내),산학취업본부,2004,0,0,22,209.7,0,0,0,0
2020,대학교,사립,대전,기존,건양대학교 _제2캠퍼스,"3,829",195,"1,326",0,0,0,34.6,105,794,899,1.7,X,직영(구내),간호대학기숙사,2017,0,0,86,217.7,109,156.6,0,0
2020,대학교,사립,대전,기존,건양대학교 _제2캠퍼스,"3,829",178,"1,326",0,2,0,34.6,42,430,472,1.7,X,직영(구내),담곡학사,2011,0,0,178,217.7,0,0,0,0
2020,대학교,사립,대전,기존,건양대학교 _제2캠퍼스,"3,829",232,"1,326",469,2,0,34.6,57,765,822,1.7,X,직영(구내),청림학사,2013,0,0,225,217.7,7,156.6,0,0
2020,대학교,사립,경기,기존,경기대학교,"12,218","1,058","2,216","2,016",0,0,18.1,34,"2,363","2,397",1.1,X,민자(BTO),경기드림타워,2011,100,550.7,958,385.7,0,0,0,0
2020,대학교,사립,경기,기존,경기대학교,"12,218",50,"2,216",89,0,25,18.1,18,96,114,1.1,O,직영(구내),한우리관,1989,0,0,0,0,0,0,50,79.2
2020,대학교,사립,서울,기존,경기대학교 _제2캠퍼스,"2,607",0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
2020,대학교,국립,경남,폐교,경남과학기술대학교,"5,276",207,950,400,0,0,18,0,927,927,2,X,민자(BTL),제3생활관(실천관),2017,4,297.9,193,211,0,0,10,319
2020,대학교,국립,경남,폐교,경남과학기술대학교,"5,276",119,950,238,0,0,18,0,413,413,2,X,직영(구내),제1생활관(자각관),1990,0,0,119,125,0,0,0,0
2020,대학교,국립,경남,폐교,경남과학기술대학교,"5,276",46,950,92,0,0,18,0,164,164,2,X,직영(구내),제2생활관(탐구관),1977,0,0,46,145.3,0,0,0,0
2020,대학교,국립,경남,폐교,경남과학기술대학교,"5,276",110,950,220,0,0,18,0,353,353,2,X,직영(구내),제4생활관(창의관),2009,0,0,110,192,0,0,0,0
2020,대학교,사립,경남,기존,경남대학교,"11,620",329,"1,653",0,26,12,14.2,308,"1,344","1,652",1.9,O,직영(구내),제1한마생활관,1995,0,0,307,172.2,20,172.2,2,112.2
