,0
0,위치는 정말 좋음. 서울에서 3분거리고 또 바로 밑엔 분당이라 어디는 갈수 있더라. 또 지하철역도 바로 연결되어있어 비올때 비 안맞고 통학 씹가능함. 6등급대학중 가성비 좋은대학인듯.
1,자신이 스펙쌓기나 열심히 학점 채우기만하면 어느 곳이든 취업할수 있는듯함.
2,지하철이 학교랑 연결되어 있어서 접근성이 정말 좋아요 장학제도도 잘 되어있고 재정도 넉넉해서 지원을 많이 해줍니다. 다만 수업 듣는 강의실이 멀어서 그건 단점이에요.
3,컴공 학생 전원에게 노트북 장학금으로 40만원의 지원금을 줍니다. 예전에 비해서 교수님들 수준도 많이 올라가고 다들 열심히 해서 컴공 분야에 관심만 있다면 추천합니다. 하지만 대형 과라 단합이 잘 되지 않는 건 단점이에요.
4,"확실히 학교의 발전을 위해 재단에서 다방면에 투자하는 모습이 느껴져요. 전문직 아웃풋을 높이기 위해 고시관을 개편하는 모습이 문과인 저로서는 크게 와닿았어요. 실제로 아웃풋이 매년 좋아지고 있는데 제작년에 세무사 10명, 이번에 로스쿨 8명, 회계사 4명을 배출했고, 각종 다양한 전문직에서 소수의 인원을 배출하고 있어요. 문과 쪽은 아니지만 올해 5급 공채에 합격한 분도 계셨구요. 그래서 이쪽으로 진로를 잡은 학생들에게는 일종의 동기부여가 되지 않을까라는 생각이 들어요. 학교 시설 같은 경우에는 현재 통합 광장과 후문을 조성하고 있고 매번 오래된 건물들을 보수하거나 철거하고 새로운 건물을 지으려 하고 있어요. 근데 예대나 공대 쪽은 건물이 구식이라 불만이 있는 것 같아요. 학교에서 취업 지원을 위한 특강들을 많이 개설하는데 학생들이 얼마나 관심을 가지느냐가 중요한 것 같아요. 캠퍼스 문화는 여느 대학과 마찬가지로 개인주의에요. 학교에 애교심이 있는 학생들도 많지만 대략적으로 상위 20퍼센트가 진학하는 곳이다 보니 본인이 애매한 위치라 생각해서 반수나 편입을 결심하거나 어쩔 수 없이 학교를 다니는 학생들도 있어요."
5,"경영학과는 문과의 꽃이라 불릴 만큼 다양한 교과목을 배울 수 있는데 교과목은 마케팅, 인사, 경영정보, 경영전략, 생산운영, 회계, 재무, 세무로 나뉠 수 있을 것 같아요. 그렇기 때문에 2학년 때 본인이 어떤 분야를 집중적으로 공부하고 싶은지, 그리고 어떤 진로를 선택하고 싶은지에 따라서 강의를 선택하시면 될 것 같아요. 현재 학부로 운영되는 체제다보니 경영학부 내에서 큰 틀로 경영학과, 글로벌경영학과, 회계세무학과, 경영애널리틱스학과로 나뉠 수 있어요. 커리큘럼은 경영학으로서 기본적으로 배워야 할 내용들로 설계된 것 같고 수업에 열정적이시고 잘 가르치시는 교수님들이 계세요. 학과 분위기는 무난하고 본인이 인간관계를 넓히려는 노력을 하지 않는 이상 혼자 학교를 다니는 일이 대부분이에요. 어딜 가나 공부를 열심히 하는 학생들이 있고 그렇지 않은 학생들이 있기에 본인의 노력 여하에 따라 학점이 갈릴 거예요."
6,학교 자체가 돈이 많고 성장 중이기에 미래 관점으로 봤을 때 좋습니다.
7,내년부터 학부로 변경되는 만큼 과 파워도 세고 돈도 많습니다. 부총장님께서 저희 과 교수님이세요.
8,학교는 큰데 실상 사용하는 부지는 거의 절반정도밖에 없어요 어문계열 말고도 문과쪽 학과에 대부분 적용되는 말인듯? 그래도 시설 자체는 나쁘지 않다고 생각합니다 교통 측면에서는 지하철역이 연결되어있어서 엄청 편해요
9,"교수님들 좋으시고 수업도 괜찮은데 학과의 한계 때문인지 전공수업 들으면 이게 미래에 어떻게 도움이 될지 계속 의문이 들어요. 단순히 영어가 좋아서, 더 배우고 싶어서 오는거라면 정말 비추합니다 정 듣고싶으시면 부전공이나 복수전공으로 수강하세요"
