,0
0,학교 시설은 좋은 편. 하지만 캠퍼스 크기가 너무 작음.
1,신설학과다보니 아직 어수선함. 교수님들은 열심히 하심. 학교에서 지원도 적당히 해주는거같음. 학과 미래는 창창하다고 하는데 아직은 잘 모르겠음.
2,"장점: 학교 시설은 좋고 작아서 오히려 괜찮음 강의실가는데 엄청 안뛰어도 됨 학식도 맛있는편 단점: 다른 학교 다 대면할 때 블랜디드함( 2시간 온라인 강의+ 1시간 대면강의, 1시간 수업들을려고 학교 왔다갔다해야함) 트렉제로 인해 소속감 없음( 학생회 활동 안하면 아는 사람도 없고 걍 수업만 듣고 집감, 이것저것 해본다하지만 사실상 원하는 트렉으로 졸업하고 싶으면 들어야하는 과목이 정해져 있음 걍 트렉의미가 없음 소속감 1도 없는 과임) 캐바케일순 있는데 주변환경이 다들 열심히 하는 분위기도 아님( 공부 벼락치기했는데 학점 4.0넘고 장학금까지 받음, 진짜 학점 잘 받기는 쉬움-컴공은 어렵다고 듣긴함) 교바교이긴 하지만 열정적인 교수님들 많이 못봄(코로나 온라인으로 3년내내 똑같은 온라인 강의 올리는 교수님 많았음) 야간 차별은 없는데 남들 다 저녁에 놀때 수업 들어야함 저녁없는 삶을 살아야함(사실상 편입하게 된 결정적 이유) 은근 저녁없는 삶이 엄청 힘들었음 장학금 제도도..^^ 과1등 해도 100프로 지원 안해주고 80프로인가 지원해줌"
3,사실 여기서 본인이 잘만하면 야간이든 주간이든 대기업가는건 가능함 기계 말고는 코딩을 다 해서 (기계도 하긴 함) 취업할 때 유리할 수 있음
4,학교 상상하는거 보다 좁음 학교 안 시설은 ㄱㅊ은데 생각보다 진짜 디메리트임 그냥 고등학교 다니는 기분이 듬
5,트랙제라 그런지 다른 학교랑 커리 큘럼이 다름 (법/정책 트랙 기준) 다른 법학과는 이론 중심인 반면에 트랙은 실용적인 느낌이 강함
6,트랙제 는 다양한 사람들과 만날 기회가 생김 맘먹고 친구 사귈려하면 충분히 많이 사귐 동아리 활동 이나 교내 학교 행사 참여하면 더 쉽게 사귐 대신 선후배의 끈끈함은 없음 친구 사귀고 싶으면 먼저다가가야함 애초에 학교에서 뭘 해 줄 이유가 없음 등록금이랑 4년제 학위랑 바꾸는 거지
7,공부가 재밌나 고른 학과로 인생사나 그냥 그럼
8,신설 건물 시설 좋음! 도서관 잘 조성되어 있어서 공강시간이나 과제하거나 책읽는 등 활용하기 좋음 팀플하기 좋은 공간들도 이번에 따로 만들어서 편하게 사용할 수 있음 학교가 좁아서 열심히 뛰면 지각은 안하지만 경사가 높은 건물의 경우 행운을 빕니다 캠퍼스 잔디에 앉아서 하하호호 하는 로망 없음
9,"문문콘 교수님들 짱 좋음 분야별로 노련하신 분들 많고 특히 전문가 전공 특강같은 게 많아서 현실적으로 조언 받을 방법 많음 학교가 작은 만큼 수업이 많이 겹치기도 하므로 전공에서 진행하는 프로그램, 답사같은 거 가면 친구 사귈 수 있음 트랙제라서 친구 사귀기 어렵다는데, 이건 맞는 말이기도 하나 의외로 전공 수업하면서 많이 본 얼굴 있으면 슬쩍 말 걸어봐요 다들 내적 친분감쩔어서 금방 친해짐"
